"Age","Used.Last.Month.Cosmetics","Used.Last.Month.Perfumes","Used.Last.Month.Skincare","Purchase.Frequency.Cosmetics","Purchase.Frequency.Perfumes","Purchase.Frequency.Skincare","POS.Department.Stores","POS.Boutiques","POS.Duty.Free","POS.Online","Purchase.Amount.Cosmetics","Purchase.Amount.Perfumes","Purchase.Amount.Skincare","Purchase.Touchpoint.Friends.and.Family.Cosmetics","Purchase.Touchpoint.Friends.and.Family.Perfumes","Purchase.Touchpoint.Friends.and.Family.Skincare","Purchase.Touchpoint.Magazines.Cosmetics","Purchase.Touchpoint.Magazines.Perfumes","Purchase.Touchpoint.Magazines.Skincare","Purchase.Touchpoint.Web.Sites.and.Blogs.Cosmetics","Purchase.Touchpoint.Web.Sites.and.Blogs.Perfumes","Purchase.Touchpoint.Web.Sites.and.Blogs.Skincare","Purchase.Touchpoint.POS.Cosmetics","Purchase.Touchpoint.POS.Perfumes","Purchase.Touchpoint.POS.Skincare","Purchase.Touchpoint.Social.Media.Cosmetics","Purchase.Touchpoint.Social.Media.Perfumes","Purchase.Touchpoint.Social.Media.Skincare","Purchase.Touchpoint.TV.Cosmetics","Purchase.Touchpoint.TV.Perfumes","Purchase.Touchpoint.TV.Skincare","Purchase.Touchpoint.OOH.Cosmetics","Purchase.Touchpoint.OOH.Perfumes","Purchase.Touchpoint.OOH.Skincare","Purchase.Touchpoint.Online.Display.Cosmetics","Purchase.Touchpoint.Online.Display.Perfumes","Purchase.Touchpoint.Online.Display.Skincare","Activity.Frequency.Restaurants","Activity.Frequency.Movie.Theater","Activity.Frequency.Theater.and.Shows","Activity.Frequency.Bars.and.Night.Clubs","Activity.Frequency.Excercise","Actitude.Luxury.Category","Actitude.Luxury.Purchases","Actitude.Tendencies.Cosmetics","Actitude.Tendencies.Perfumes","Actitude.Tendencies.Skincare","Brand.Identification.Cosmetics","Brand.Identification.Perfumes","Brand.Identification.Skincare","Purchase.Chanel.Cosmetics","Purchase.Chanel.Perfumes","Purchase.Chanel.Skincare","Marital.Status","Motherhood.Status","Educational.Level","Occupation","Socioeconomic.Status"
42,"Sí","Sí","Sí",3,6,1,1,0,0,0,2000,2000,500,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,7,15,90,90,7,"Exclusividad","Busco la mejor calidad","Adopto algunas de las tendencias después de conocerlas","Nunca estoy familiarizada con las nuevas tendencias","Me gusta adelantarme a las tendencias y ser pionera","Lancomê","212 VIP","Clinique","No","No","No","Casada","Sí","Licenciatura / Ensino Superior","PROFESIONISTA",2
40,"Sí","Sí","Sí",1,3,1,1,1,1,1,500,2000,2000,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,7,7,30,15,7,"Exclusividad","Busco la mejor calidad","Adopto algunas de las tendencias después de conocerlas","Me gusta adelantarme a las tendencias y ser pionera","Me gusta adoptar rápidamente las nuevas tendencias","Clinique","J'adore","Lancomê","No","Sí","No","Casada","Sí","Licenciatura / Ensino Superior","PROFESIONISTA",2
24,"Sí","Sí","Sí",1,1,1,1,0,0,0,2000,2000,3500,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,7,15,90,7,30,"Exclusividad","He trabajado duro para tenerlos","Me gusta adelantarme a las tendencias y ser pionera","Me gusta adoptar rápidamente las nuevas tendencias","Me gusta adoptar rápidamente las nuevas tendencias","MAC","Coco Mademoiselle","Clinique","Sí","Sí","Sí","Casada","Sí","Licenciatura / Ensino Superior","PROFESIONISTA",1
33,"Sí","Sí","Sí",1,6,3,0,0,0,1,2000,2000,500,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,7,15,90,30,7,"Calidad excepcional","Busco la mejor calidad","Adopto algunas de las tendencias después de conocerlas","Adopto algunas de las tendencias después de conocerlas","Adopto algunas de las tendencias después de conocerlas","MAC","POISON","Lancomê","No","No","No","Casada","Sí","Licenciatura / Ensino Superior","PROFESIONISTA",2
42,"Sí","Sí","Sí",3,6,1,1,0,0,0,500,2000,500,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,15,90,0,15,"Calidad excepcional","Busco la mejor calidad","Generalmente estoy poco familiarizada con las nuevas tendencias","Adopto algunas de las tendencias después de conocerlas","Me gusta adoptar rápidamente las nuevas tendencias","MAC","Hypnose","Eucerin","Sí","No","No","Casada","Sí","Licenciatura / Ensino Superior","PROFESIONISTA",2
42,"No","No","Sí",1,3,1,1,0,0,0,500,500,500,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,7,7,90,90,7,"Prestigio","Me gustan los placeres de la vida","Nunca estoy familiarizada con las nuevas tendencias","Me gusta adelantarme a las tendencias y ser pionera","Generalmente estoy poco familiarizada con las nuevas tendencias","Otra. ¿Cuál?","212 VIP","Mary kay","No","No","No","Soltera","Sí","Licenciatura / Ensino Superior","VENTAS",1
25,"Sí","Sí","Sí",1,3,1,1,0,0,0,500,500,500,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,15,15,90,30,7,"Calidad excepcional","He trabajado duro para tenerlos","Generalmente estoy poco familiarizada con las nuevas tendencias","Nunca estoy familiarizada con las nuevas tendencias","Generalmente estoy poco familiarizada con las nuevas tendencias","MAC","Dnky","Clinique","No","Sí","No","Soltera","Sí","Licenciatura / Ensino Superior","PROFESIONISTA",1
24,"Sí","Sí","Sí",6,12,3,1,0,0,0,500,500,500,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,30,15,0,90,7,"Calidad excepcional","He trabajado duro para tenerlos","Me gusta adoptar rápidamente las nuevas tendencias","Me gusta adelantarme a las tendencias y ser pionera","Adopto algunas de las tendencias después de conocerlas","Clinique","CH","Lancomê","No","Sí","No","Casada","Sí","Licenciatura / Ensino Superior","AMA DE CASA",1
52,"Sí","Sí","Sí",12,12,3,1,0,0,0,500,2000,500,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,30,7,90,30,7,"Un precio alto","Busco la mejor calidad","Adopto algunas de las tendencias después de conocerlas","Adopto algunas de las tendencias después de conocerlas","Adopto algunas de las tendencias después de conocerlas","MAC","Acqua di Gioia","Ives Rocher","Sí","Sí","Sí","Divorciada/Separada","Sí","Licenciatura / Ensino Superior","PROFESIONISTA",1
30,"Sí","Sí","Sí",3,12,3,1,0,0,0,500,500,500,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,90,30,0,0,7,"Un precio alto","Me gusta sentirme bien","Adopto algunas de las tendencias después de conocerlas","Generalmente estoy poco familiarizada con las nuevas tendencias","Adopto algunas de las tendencias después de conocerlas","MAC","CH","Vichy","No","No","No","Casada","No","Licenciatura / Ensino Superior","PROFESIONISTA",2
42,"Sí","Sí","Sí",1,1,1,1,1,0,1,2000,500,2000,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,15,7,90,30,7,"Exclusividad","Me gusta sentirme bien","Me gusta adelantarme a las tendencias y ser pionera","Me gusta adelantarme a las tendencias y ser pionera","Me gusta adelantarme a las tendencias y ser pionera","Clinique","hungaro desnuda","Lancomê","No","No","No","Casada","Sí","Licenciatura / Ensino Superior","PROFESIONISTA",1
42,"Sí","Sí","Sí",1,3,1,1,0,1,0,2000,3500,2000,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,30,90,15,7,"Calidad excepcional","Busco la mejor calidad","Me gusta adoptar rápidamente las nuevas tendencias","Me gusta adelantarme a las tendencias y ser pionera","Adopto algunas de las tendencias después de conocerlas","Clinique","CH","Clinique","Sí","Sí","No","Divorciada/Separada","No","Licenciatura / Ensino Superior","PROFESIONISTA",2
23,"Sí","Sí","Sí",6,12,3,1,0,0,0,500,500,500,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,15,15,90,0,7,"Exclusividad","Busco la mejor calidad","Me gusta adoptar rápidamente las nuevas tendencias","Nunca estoy familiarizada con las nuevas tendencias","Me gusta adelantarme a las tendencias y ser pionera","MAC","No. 5","Clinique","No","No","No","Soltera","No","Licenciatura / Ensino Superior","PROFESIONISTA",2
40,"Sí","Sí","Sí",1,1,1,1,0,0,0,500,500,500,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,30,15,90,30,7,"Exclusividad","Me gusta sentirme bien","Adopto algunas de las tendencias después de conocerlas","Generalmente estoy poco familiarizada con las nuevas tendencias","Adopto algunas de las tendencias después de conocerlas","Clinique","Carolina Herrera CH","Clinique","No","No","No","Divorciada/Separada","Sí","Báscio / Ensino Fundamental","PROFESIONISTA",1
40,"Sí","No","Sí",3,12,3,1,0,0,0,500,2000,500,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,90,90,30,30,"Un precio alto","Me gusta sentirme bien","Generalmente estoy poco familiarizada con las nuevas tendencias","Nunca estoy familiarizada con las nuevas tendencias","Adopto algunas de las tendencias después de conocerlas","Otra. ¿Cuál?","212 VIP","EBEL","No","No","No","Soltera","No","Licenciatura / Ensino Superior","PROFESIONISTA",1
21,"Sí","Sí","Sí",6,12,3,1,1,0,0,2000,2000,2000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,7,15,90,30,"Prestigio","Me gusta sentirme bien","Nunca estoy familiarizada con las nuevas tendencias","Generalmente estoy poco familiarizada con las nuevas tendencias","Adopto algunas de las tendencias después de conocerlas","MAC","deep red","Estée Lauder","Sí","No","Sí","Soltera","No","Licenciatura / Ensino Superior","ESTUDIANTE",2
26,"Sí","Sí","Sí",1,3,3,1,0,0,0,2000,2000,500,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,15,15,30,30,90,"Exclusividad","Me gusta sentirme bien","Me gusta adelantarme a las tendencias y ser pionera","Nunca estoy familiarizada con las nuevas tendencias","Generalmente estoy poco familiarizada con las nuevas tendencias","MAC","212 VIP","Clinique","No","Sí","No","Soltera","Sí","Licenciatura / Ensino Superior","PROFESIONISTA",1
46,"Sí","Sí","Sí",6,12,1,1,1,0,0,500,2000,2000,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,1,1,15,15,30,90,7,"Calidad excepcional","Busco la mejor calidad","Adopto algunas de las tendencias después de conocerlas","Me gusta adoptar rápidamente las nuevas tendencias","Me gusta adelantarme a las tendencias y ser pionera","Lancomê","DKNY","Lancomê","Sí","Sí","Sí","Casada","Sí","Posgrado / Pós-graduação","PROFESIONISTA",2
51,"Sí","Sí","Sí",3,6,3,1,0,0,0,500,500,500,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,30,30,90,0,0,"Calidad excepcional","Busco la mejor calidad","Me gusta adoptar rápidamente las nuevas tendencias","Generalmente estoy poco familiarizada con las nuevas tendencias","Nunca estoy familiarizada con las nuevas tendencias","Estée Lauder","amor amor","Clarins","No","No","No","Casada","Sí","Licenciatura / Ensino Superior","AMA DE CASA",2
43,"Sí","Sí","Sí",3,6,3,1,1,0,1,500,2000,500,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,15,30,30,15,7,"Calidad excepcional","Busco la mejor calidad","Adopto algunas de las tendencias después de conocerlas","Me gusta adelantarme a las tendencias y ser pionera","Generalmente estoy poco familiarizada con las nuevas tendencias","Estée Lauder","Cool Water","Estée Lauder","No","No","No","Casada","Sí","Licenciatura / Ensino Superior","PROFESIONISTA",2
34,"Sí","Sí","Sí",3,6,3,1,0,0,0,500,2000,500,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7,30,90,30,0,"Calidad excepcional","He trabajado duro para tenerlos","Adopto algunas de las tendencias después de conocerlas","Generalmente estoy poco familiarizada con las nuevas tendencias","Nunca estoy familiarizada con las nuevas tendencias","MAC","Acqua di Gioia","Estée Lauder","Sí","No","No","Casada","No","Licenciatura / Ensino Superior","PROFESIONISTA",1
33,"Sí","Sí","Sí",1,3,1,1,1,0,0,500,2000,500,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,7,15,30,15,0,"Exclusividad","Me gusta sentirme bien","Me gusta adoptar rápidamente las nuevas tendencias","Me gusta adoptar rápidamente las nuevas tendencias","Me gusta adoptar rápidamente las nuevas tendencias","Lancomê","212 VIP","Clarins","Sí","No","No","Soltera","No","Posgrado / Pós-graduação","PROFESIONISTA",2
41,"Sí","Sí","Sí",1,3,1,1,0,0,1,500,2000,2000,0,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,15,0,0,0,7,"Calidad excepcional","Me gustan los placeres de la vida","Me gusta adoptar rápidamente las nuevas tendencias","Generalmente estoy poco familiarizada con las nuevas tendencias","Adopto algunas de las tendencias después de conocerlas","Clinique","Flower by Kenso","Avene, Yves Rocher","No","No","No","Soltera","Sí","Posgrado / Pós-graduação","PROFESIONISTA",1
44,"Sí","Sí","Sí",1,6,1,1,0,0,0,500,2000,500,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,7,30,90,15,7,"Calidad excepcional","Estoy acostumbrada a ellos","Me gusta adoptar rápidamente las nuevas tendencias","Nunca estoy familiarizada con las nuevas tendencias","Me gusta adoptar rápidamente las nuevas tendencias","Estée Lauder","J'adore","Yves roche","No","Sí","No","Soltera","No","Licenciatura / Ensino Superior","PROFESIONISTA",1
33,"Sí","Sí","Sí",6,12,6,1,0,0,0,500,500,500,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,30,30,90,0,7,"Calidad excepcional","Busco la mejor calidad","Generalmente estoy poco familiarizada con las nuevas tendencias","Generalmente estoy poco familiarizada con las nuevas tendencias","Nunca estoy familiarizada con las nuevas tendencias","Clinique","CH","Clinique","No","Sí","No","Casada","Sí","Licenciatura / Ensino Superior","PROFESIONISTA",2
30,"Sí","Sí","No",3,6,12,1,0,0,1,500,500,500,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,90,90,0,0,90,"Calidad excepcional","Busco la mejor calidad","Me gusta adoptar rápidamente las nuevas tendencias","Generalmente estoy poco familiarizada con las nuevas tendencias","Generalmente estoy poco familiarizada con las nuevas tendencias","MAC","Acqua di Gioia","Biotherm","No","No","No","Casada","Sí","Licenciatura / Ensino Superior","PROFESIONISTA",1
22,"Sí","Sí","Sí",6,12,6,1,0,1,0,500,500,500,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,15,7,90,90,7,"Calidad excepcional","Busco la mejor calidad","Adopto algunas de las tendencias después de conocerlas","Me gusta adelantarme a las tendencias y ser pionera","Nunca estoy familiarizada con las nuevas tendencias","MAC","Acqua di Gioia","Lancomê","No","No","No","Soltera","No","Licenciatura / Ensino Superior","PROFESIONISTA",2
45,"Sí","Sí","Sí",6,12,3,1,0,0,0,500,500,2000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7,7,90,90,7,"Un precio alto","Me gustan los placeres de la vida","Nunca estoy familiarizada con las nuevas tendencias","Nunca estoy familiarizada con las nuevas tendencias","Nunca estoy familiarizada con las nuevas tendencias","Otra. ¿Cuál?","CK Be","Endocare","No","No","No","Soltera","No","Posgrado / Pós-graduação","ESCRITORA",2
53,"No","Sí","Sí",0,6,3,1,0,1,0,500,2000,500,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,7,7,30,30,7,"Un precio alto","He trabajado duro para tenerlos","Nunca estoy familiarizada con las nuevas tendencias","Generalmente estoy poco familiarizada con las nuevas tendencias","Me gusta adoptar rápidamente las nuevas tendencias","Lancomê","lowe","Lancomê","No","No","No","Soltera","Sí","Posgrado / Pós-graduação","PROFESIONISTA",1
46,"Sí","Sí","Sí",1,12,6,1,0,1,0,2000,2000,2000,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,7,90,0,7,"Calidad excepcional","Busco la mejor calidad","Adopto algunas de las tendencias después de conocerlas","Me gusta adoptar rápidamente las nuevas tendencias","Me gusta adelantarme a las tendencias y ser pionera","MAC","Acqua di Gioia","Lancomê","Sí","Sí","No","Casada","Sí","Posgrado / Pós-graduação","EMPRESARIA",2
36,"Sí","Sí","Sí",3,6,1,1,0,0,0,500,2000,500,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,7,30,0,90,7,"Prestigio","Me gustan los placeres de la vida","Adopto algunas de las tendencias después de conocerlas","Adopto algunas de las tendencias después de conocerlas","Adopto algunas de las tendencias después de conocerlas","Dior","CH","Lancomê","No","No","No","Casada","No","Posgrado / Pós-graduação","PROFESIONISTA",2
52,"Sí","Sí","Sí",3,12,6,1,1,0,0,500,500,500,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,30,30,0,0,0,"Prestigio","Me gusta sentirme bien","Adopto algunas de las tendencias después de conocerlas","Adopto algunas de las tendencias después de conocerlas","Nunca estoy familiarizada con las nuevas tendencias","Lancomê","CK","Lancomê","No","No","No","Soltera","Sí","Licenciatura / Ensino Superior","PROFESIONISTA",1
44,"No","Sí","Sí",12,3,3,1,0,0,0,500,2000,2000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30,15,30,90,90,"Exclusividad","Busco la mejor calidad","Adopto algunas de las tendencias después de conocerlas","Nunca estoy familiarizada con las nuevas tendencias","Me gusta adelantarme a las tendencias y ser pionera","Otra. ¿Cuál?","HALLOWENN, MIUA, WIHT DIOMENS, ANNIAS","LOREAL","No","No","No","Divorciada/Separada","No","Posgrado / Pós-graduação","PROFESIONISTA",1
28,"Sí","Sí","Sí",3,6,1,1,1,0,0,500,2000,500,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,15,15,90,90,7,"Un precio alto","Busco la mejor calidad","Generalmente estoy poco familiarizada con las nuevas tendencias","Nunca estoy familiarizada con las nuevas tendencias","Me gusta adoptar rápidamente las nuevas tendencias","MAC","CH","Biotherm","No","Sí","No","Casada","No","Posgrado / Pós-graduação","PROFESIONISTA",1
50,"Sí","Sí","Sí",3,6,3,1,0,0,1,500,500,500,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,30,30,30,90,30,"Exclusividad","Me gusta sentirme bien","Me gusta adoptar rápidamente las nuevas tendencias","Adopto algunas de las tendencias después de conocerlas","Me gusta adelantarme a las tendencias y ser pionera","Clinique","Happy","Clinique","No","No","No","Casada","Sí","Licenciatura / Ensino Superior","AMA DE CASA",2
24,"Sí","Sí","Sí",6,3,1,1,0,1,0,2000,500,500,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,15,15,90,30,7,"Exclusividad","Busco la mejor calidad","Generalmente estoy poco familiarizada con las nuevas tendencias","Adopto algunas de las tendencias después de conocerlas","Nunca estoy familiarizada con las nuevas tendencias","Clinique","CH","Clinique","No","No","No","Soltera","No","Licenciatura / Ensino Superior","PROFESIONISTA",1
45,"Sí","Sí","Sí",6,6,3,1,0,0,0,500,2000,500,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,15,30,90,90,7,"Calidad excepcional","Busco la mejor calidad","Adopto algunas de las tendencias después de conocerlas","Me gusta adelantarme a las tendencias y ser pionera","Adopto algunas de las tendencias después de conocerlas","Estée Lauder","Coco Mademoiselle","Clinique","No","Sí","No","Casada","Sí","Báscio / Ensino Fundamental","AMA DE CASA",1
53,"Sí","Sí","Sí",6,12,3,1,0,0,0,500,500,500,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,"Prestigio","Busco la mejor calidad","Generalmente estoy poco familiarizada con las nuevas tendencias","Me gusta adelantarme a las tendencias y ser pionera","Nunca estoy familiarizada con las nuevas tendencias","Chanel","Coco Mademoiselle","Lancomê","No","No","No","Divorciada/Separada","No","Licenciatura / Ensino Superior","EMPRESARIA",2
32,"Sí","Sí","Sí",6,12,12,1,0,0,0,500,500,500,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,90,0,90,90,7,"Un precio alto","He trabajado duro para tenerlos","Nunca estoy familiarizada con las nuevas tendencias","Nunca estoy familiarizada con las nuevas tendencias","Nunca estoy familiarizada con las nuevas tendencias","Clinique","Cool Water","Clinique","No","No","No","Soltera","Sí","Licenciatura / Ensino Superior","PROFESIONISTA",1
46,"Sí","Sí","Sí",3,12,3,1,0,0,0,500,2000,2000,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,15,90,90,90,7,"Calidad excepcional","Busco la mejor calidad","Me gusta adelantarme a las tendencias y ser pionera","Generalmente estoy poco familiarizada con las nuevas tendencias","Adopto algunas de las tendencias después de conocerlas","Clinique","212 VIP","Clinique","No","No","No","Divorciada/Separada","No","Posgrado / Pós-graduação","PROFESIONISTA",2
34,"Sí","Sí","Sí",3,6,3,1,0,0,0,500,500,500,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,30,0,0,7,"Calidad excepcional","Busco la mejor calidad","Adopto algunas de las tendencias después de conocerlas","Generalmente estoy poco familiarizada con las nuevas tendencias","Me gusta adoptar rápidamente las nuevas tendencias","Otra. ¿Cuál?","360 grados","Garnier","No","No","No","Soltera","No","Báscio / Ensino Fundamental","PROFESIONISTA",1
50,"Sí","Sí","Sí",3,6,3,1,0,0,0,2000,3500,2000,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,15,90,90,15,7,"Exclusividad","Me gustan los placeres de la vida","Adopto algunas de las tendencias después de conocerlas","Me gusta adoptar rápidamente las nuevas tendencias","Nunca estoy familiarizada con las nuevas tendencias","MAC","Daisy","Clinique","Sí","Sí","No","Soltera","No","Báscio / Ensino Fundamental","ASISTENTE ADMINISTRATIVO",1
29,"Sí","Sí","Sí",1,1,1,1,1,1,0,2000,3500,2000,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,15,30,90,7,7,"Prestigio","Me gustan los placeres de la vida","Adopto algunas de las tendencias después de conocerlas","Generalmente estoy poco familiarizada con las nuevas tendencias","Nunca estoy familiarizada con las nuevas tendencias","MAC","Acqua di Gioia","Clinique","Sí","Sí","No","Casada","Sí","Licenciatura / Ensino Superior","PROFESIONISTA",2
40,"Sí","Sí","Sí",3,12,12,1,0,0,0,500,500,500,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,30,15,0,30,30,"Un precio alto","Busco la mejor calidad","Me gusta adoptar rápidamente las nuevas tendencias","Nunca estoy familiarizada con las nuevas tendencias","Adopto algunas de las tendencias después de conocerlas","MAC","Acqua di Gioia","Estée Lauder","No","Sí","No","Casada","Sí","Báscio / Ensino Fundamental","AMA DE CASA",1
39,"Sí","Sí","Sí",3,1,1,1,0,0,0,2000,500,500,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,15,30,0,30,7,"Exclusividad","Me gusta sentirme bien","Me gusta adoptar rápidamente las nuevas tendencias","Nunca estoy familiarizada con las nuevas tendencias","Adopto algunas de las tendencias después de conocerlas","Estée Lauder","No. 5","Clinique","Sí","Sí","No","Soltera","Sí","Báscio / Ensino Fundamental","PROFESIONISTA",1
37,"Sí","Sí","Sí",6,12,6,1,0,0,0,500,2000,500,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,15,30,90,7,"Un precio alto","Me gusta sentirme bien","Adopto algunas de las tendencias después de conocerlas","Generalmente estoy poco familiarizada con las nuevas tendencias","Generalmente estoy poco familiarizada con las nuevas tendencias","MAC","CH","Clinique","No","No","No","Casada","Sí","Licenciatura / Ensino Superior","PROFESIONISTA",2
28,"Sí","Sí","Sí",3,6,1,1,1,0,0,500,500,500,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,30,15,30,15,7,"Prestigio","Busco la mejor calidad","Adopto algunas de las tendencias después de conocerlas","Me gusta adoptar rápidamente las nuevas tendencias","Generalmente estoy poco familiarizada con las nuevas tendencias","Clinique","Acqua di Gioia","Clinique","No","No","No","Soltera","No","Licenciatura / Ensino Superior","PROFESIONISTA",1
36,"Sí","Sí","Sí",6,12,3,1,0,0,0,500,500,500,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,90,90,0,0,7,"Calidad excepcional","Busco la mejor calidad","Nunca estoy familiarizada con las nuevas tendencias","Nunca estoy familiarizada con las nuevas tendencias","Nunca estoy familiarizada con las nuevas tendencias","Estée Lauder","elizabeth arden","Estée Lauder","No","No","No","Soltera","No","Licenciatura / Ensino Superior","DESEMPLEADA",2
40,"Sí","Sí","Sí",1,3,1,1,0,1,1,500,500,500,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,30,90,0,0,7,"Exclusividad","Busco la mejor calidad","Adopto algunas de las tendencias después de conocerlas","Generalmente estoy poco familiarizada con las nuevas tendencias","Me gusta adoptar rápidamente las nuevas tendencias","Otra. ¿Cuál?","cabotine","Lancomê","No","No","No","Casada","Sí","Licenciatura / Ensino Superior","AMA DE CASA",2
48,"Sí","Sí","Sí",3,3,1,1,0,0,0,2000,3500,2000,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7,7,30,90,7,"Calidad excepcional","Me gusta sentirme bien","Me gusta adelantarme a las tendencias y ser pionera","Adopto algunas de las tendencias después de conocerlas","Adopto algunas de las tendencias después de conocerlas","MAC","La Vie est belle y Magie Noire","Clinique","No","Sí","No","Casada","Sí","Licenciatura / Ensino Superior","PROFESIONISTA",2
27,"Sí","Sí","Sí",1,3,1,1,1,0,0,2000,3500,2000,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,15,7,15,7,7,"Calidad excepcional","Busco la mejor calidad","Me gusta adoptar rápidamente las nuevas tendencias","Adopto algunas de las tendencias después de conocerlas","Generalmente estoy poco familiarizada con las nuevas tendencias","Chanel","Daisy","Clinique","Sí","Sí","No","Casada","Sí","Posgrado / Pós-graduação","PROFESIONISTA",2
42,"Sí","Sí","Sí",3,3,1,1,0,0,0,2000,500,500,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,15,30,30,0,7,"Calidad excepcional","Busco la mejor calidad","Nunca estoy familiarizada con las nuevas tendencias","Generalmente estoy poco familiarizada con las nuevas tendencias","Adopto algunas de las tendencias después de conocerlas","Estée Lauder","CH","Estée Lauder","Sí","Sí","Sí","Casada","No","Licenciatura / Ensino Superior","PROFESIONISTA",2
