"Age","Used.Last.Month.Cosmetics","Used.Last.Month.Perfumes","Used.Last.Month.Skincare","Purchase.Frequency.Cosmetics","Purchase.Frequency.Perfumes","Purchase.Frequency.Skincare","POS.Department.Stores","POS.Boutiques","POS.Duty.Free","POS.Online","Purchase.Amount.Cosmetics","Purchase.Amount.Perfumes","Purchase.Amount.Skincare","Purchase.Touchpoint.Friends.and.Family.Cosmetics","Purchase.Touchpoint.Friends.and.Family.Perfumes","Purchase.Touchpoint.Friends.and.Family.Skincare","Purchase.Touchpoint.Magazines.Cosmetics","Purchase.Touchpoint.Magazines.Perfumes","Purchase.Touchpoint.Magazines.Skincare","Purchase.Touchpoint.Web.Sites.and.Blogs.Cosmetics","Purchase.Touchpoint.Web.Sites.and.Blogs.Perfumes","Purchase.Touchpoint.Web.Sites.and.Blogs.Skincare","Purchase.Touchpoint.POS.Cosmetics","Purchase.Touchpoint.POS.Perfumes","Purchase.Touchpoint.POS.Skincare","Purchase.Touchpoint.Social.Media.Cosmetics","Purchase.Touchpoint.Social.Media.Perfumes","Purchase.Touchpoint.Social.Media.Skincare","Purchase.Touchpoint.TV.Cosmetics","Purchase.Touchpoint.TV.Perfumes","Purchase.Touchpoint.TV.Skincare","Purchase.Touchpoint.OOH.Cosmetics","Purchase.Touchpoint.OOH.Perfumes","Purchase.Touchpoint.OOH.Skincare","Purchase.Touchpoint.Online.Display.Cosmetics","Purchase.Touchpoint.Online.Display.Perfumes","Purchase.Touchpoint.Online.Display.Skincare","Activity.Frequency.Restaurants","Activity.Frequency.Movie.Theater","Activity.Frequency.Theater.and.Shows","Activity.Frequency.Bars.and.Night.Clubs","Activity.Frequency.Excercise","Actitude.Luxury.Category","Actitude.Luxury.Purchases","Actitude.Tendencies.Cosmetics","Actitude.Tendencies.Perfumes","Actitude.Tendencies.Skincare","Brand.Identification.Cosmetics","Brand.Identification.Perfumes","Brand.Identification.Skincare","Purchase.Chanel.Cosmetics","Purchase.Chanel.Perfumes","Purchase.Chanel.Skincare","Marital.Status","Motherhood.Status","Educational.Level","Occupation","Socioeconomic.Status"
47,"Sí","No","Sí",12,0,6,1,0,0,0,500,500,500,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,15,0,90,30,7,"Un precio alto","Busco la mejor calidad","Generalmente estoy poco familiarizada con las nuevas tendencias","Nunca estoy familiarizada con las nuevas tendencias","Adopto algunas de las tendencias después de conocerlas","Clinique","Happy","Clinique","No","No","No","Casada","No","Licenciatura / Ensino Superior","AMA DE CASA",2
32,"Sí","Sí","Sí",12,6,6,1,0,0,0,500,2000,2000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,15,30,90,30,7,"Calidad excepcional","Me gustan los placeres de la vida","Generalmente estoy poco familiarizada con las nuevas tendencias","Generalmente estoy poco familiarizada con las nuevas tendencias","Adopto algunas de las tendencias después de conocerlas","Estée Lauder","calvin klein be","Estée Lauder","No","Sí","No","Soltera","No","Posgrado / Pós-graduação","PROFESIONISTA",1
33,"Sí","Sí","Sí",1,3,3,1,0,0,0,500,500,500,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,15,90,0,30,90,"Calidad excepcional","Busco la mejor calidad","Me gusta adoptar rápidamente las nuevas tendencias","Adopto algunas de las tendencias después de conocerlas","Me gusta adelantarme a las tendencias y ser pionera","Clinique","very irresistible","Clinique","No","No","No","Soltera","Sí","Licenciatura / Ensino Superior","PROFESIONISTA",1
38,"Sí","Sí","Sí",1,3,3,1,0,0,0,500,2000,500,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,15,15,30,90,7,"Exclusividad","Me gustan los placeres de la vida","Me gusta adoptar rápidamente las nuevas tendencias","Generalmente estoy poco familiarizada con las nuevas tendencias","Adopto algunas de las tendencias después de conocerlas","Estée Lauder","Amarige","Clinique","Sí","No","No","Casada","Sí","Báscio / Ensino Fundamental","AMA DE CASA",1
19,"Sí","Sí","Sí",1,1,1,1,1,1,1,500,500,500,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,15,15,90,15,7,"Calidad excepcional","Busco la mejor calidad","Generalmente estoy poco familiarizada con las nuevas tendencias","Adopto algunas de las tendencias después de conocerlas","Adopto algunas de las tendencias después de conocerlas","Clinique","No. 5","Clinique","No","Sí","No","Soltera","No","Licenciatura / Ensino Superior","ESTUDIANTE",2
37,"Sí","Sí","Sí",1,3,1,1,0,0,0,500,2000,500,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,7,7,15,30,7,"Calidad excepcional","Busco la mejor calidad","Generalmente estoy poco familiarizada con las nuevas tendencias","Nunca estoy familiarizada con las nuevas tendencias","Adopto algunas de las tendencias después de conocerlas","Lancomê","Coco Mademoiselle","Lancomê","No","No","Sí","Divorciada/Separada","Sí","Licenciatura / Ensino Superior","PROFESIONISTA",2
50,"Sí","Sí","Sí",3,6,3,1,1,0,0,2000,2000,500,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,15,30,90,90,7,"Un precio alto","Busco la mejor calidad","Adopto algunas de las tendencias después de conocerlas","Me gusta adelantarme a las tendencias y ser pionera","Generalmente estoy poco familiarizada con las nuevas tendencias","Lancomê","212 VIP","Clarins","No","No","No","Soltera","Sí","Báscio / Ensino Fundamental","AMA DE CASA",1
31,"Sí","Sí","Sí",6,3,1,1,0,0,0,500,2000,2000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,30,90,7,7,"Exclusividad","Busco la mejor calidad","Adopto algunas de las tendencias después de conocerlas","Adopto algunas de las tendencias después de conocerlas","Me gusta adoptar rápidamente las nuevas tendencias","MAC","Deep Red Hugo Boss","Clinique","No","No","No","Soltera","No","Posgrado / Pós-graduação","PROFESIONISTA",2
31,"Sí","Sí","Sí",1,12,3,1,1,0,1,500,500,500,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,7,90,90,30,30,"Calidad excepcional","Busco la mejor calidad","Me gusta adoptar rápidamente las nuevas tendencias","Adopto algunas de las tendencias después de conocerlas","Nunca estoy familiarizada con las nuevas tendencias","MAC","No. 5","Avent","No","No","No","Casada","Sí","Licenciatura / Ensino Superior","PROFESIONISTA",2
29,"Sí","Sí","Sí",6,6,3,1,1,0,1,500,500,500,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,15,90,90,7,7,"Calidad excepcional","Busco la mejor calidad","Me gusta adoptar rápidamente las nuevas tendencias","Adopto algunas de las tendencias después de conocerlas","Nunca estoy familiarizada con las nuevas tendencias","Estée Lauder","J'adore","Biotherm","No","No","No","Soltera","No","Posgrado / Pós-graduação","PROFESIONISTA",2
